order_id,order_date,customer_id,total_amount,product_category,product_name,quantity,customer_age,customer_gender,region,sales_channel,order_status,cost_of_goods_sold,gross_margin
10930,2024-10-04,4411,123.92,Apparel,T-Shirt,5,24,Male,Asia-Pacific,Website,Shipped,88.07,35.85000000000001
10488,2024-10-04,2818,117.65,Apparel,Denim Jeans,1,46,Female,Asia-Pacific,Website,Shipped,79.93,37.72
18725,2024-10-05,3692,142.48,Apparel,Denim Jeans,5,18,Female,Europe,Mobile App,Shipped,98.31,44.16999999999999
13612,2024-10-05,5064,83.63,Books & Media,Vinyl Record,2,54,Female,Latin America,Website,Shipped,52.98,30.65
10226,2024-10-05,5317,95.66,Sports,Yoga Mat,5,18,Not Specified,Europe,Website,Shipped,50.38,45.279999999999994
11984,2024-10-05,3996,136.5,Food & Beverage,Protein Bars,3,62,Female,N. America,Website,Shipped,94.18,42.31999999999999
17758,2024-10-05,3598,41.32,Books & Media,Vinyl Record,4,34,Female,Europe,Mobile App,Shipped,29.31,12.010000000000002
11402,2024-10-05,2843,42.28,Electronics,Smart Watch,1,43,Female,Europe,Mobile App,Shipped,26.55,15.73
15157,2024-10-05,2613,109.37,Apparel,T-Shirt,5,55,Male,Asia-Pacific,Website,Delivered,70.32,39.05000000000001
19229,2024-10-05,2160,2.57,Apparel,Denim Jeans,2,43,Female,Europe,Mobile App,Shipped,1.9,0.6699999999999999
18851,2024-10-05,2827,179.24,Electronics,Smart Watch,3,33,Not Specified,Asia-Pacific,Website,Delivered,131.51,47.73000000000002
18783,2024-10-05,4584,107.93,Books & Media,Best-Seller Novel,3,61,Female,N. America,Website,Delivered,66.09,41.84
12120,2024-10-05,2601,172.17,Sports,Dumbbell Set,3,41,Female,Asia-Pacific,Mobile App,Shipped,105.42,66.74999999999999
18843,2024-10-05,3289,96.91,Books & Media,Vinyl Record,3,63,Not Specified,N. America,Website,Shipped,62.29,34.62
10070,2024-10-05,4987,133.91,Books & Media,Best-Seller Novel,4,27,Female,Europe,Mobile App,Cancelled,70.79,63.11999999999999
17626,2024-10-05,5005,78.82,Food & Beverage,Protein Bars,1,55,Male,Europe,Website,Shipped,56.65,22.169999999999995
17396,2024-10-05,4164,97.08,Apparel,Winter Jacket,3,35,Male,N. America,Website,Shipped,54.7,42.379999999999995
10287,2024-10-05,4653,74.76,Food & Beverage,Protein Bars,1,57,Female,N. America,Website,Shipped,48.38,26.380000000000003
18524,2024-10-05,4363,136.68,Electronics,Wireless Earbuds,2,34,Female,Asia-Pacific,Affiliate,Returned,97.14,39.540000000000006
15593,2024-10-05,4056,68.19,Apparel,Denim Jeans,4,19,Not Specified,N. America,Mobile App,Shipped,47.55,20.64
14687,2024-10-05,4409,91.85,Sports,Running Shoes,4,25,Male,Europe,Mobile App,Cancelled,57.94,33.91
12361,2024-10-05,4040,49.55,Food & Beverage,Protein Bars,1,26,Female,N. America,Website,Shipped,25.96,23.589999999999996
13425,2024-10-05,3118,171.07,Home Goods,Robot Vacuum,5,57,Female,N. America,Website,Shipped,95.1,75.97
15816,2024-10-05,3084,171.39,Sports,Running Shoes,2,34,Female,N. America,Mobile App,Shipped,107.48,63.90999999999998
13153,2024-10-05,3054,89.03,Home Goods,Robot Vacuum,1,58,Female,Latin America,Website,Shipped,45.64,43.39
14602,2024-10-05,3438,148.56,Sports,Dumbbell Set,1,51,Male,Europe,Mobile App,Delivered,93.5,55.06
11715,2024-10-06,4710,45.75,Apparel,T-Shirt,3,36,Not Specified,Europe,Mobile App,Delivered,23.46,22.29
12963,2024-10-06,2085,95.46,Electronics,Smart Watch,1,63,Male,N. America,Mobile App,Shipped,53.44,42.019999999999996
10979,2024-10-06,2463,93.01,Apparel,T-Shirt,3,56,Male,Asia-Pacific,Mobile App,Shipped,61.05,31.960000000000008
18982,2024-10-06,4813,99.01,Electronics,Laptop,4,37,Male,Latin America,Mobile App,Shipped,51.84,47.17
18363,2024-10-06,5002,118.31,Sports,Dumbbell Set,3,62,Female,N. America,Affiliate,Returned,88.49,29.820000000000007
12903,2024-10-06,4511,64.18,Electronics,Wireless Earbuds,5,49,Female,Europe,Mobile App,Shipped,43.0,21.180000000000007
14469,2024-10-06,4711,160.43,Food & Beverage,Coffee Subscription,4,46,Non-Binary,Asia-Pacific,Website,Shipped,100.14,60.290000000000006
17150,2024-10-06,3990,142.88,Sports,Dumbbell Set,1,63,Female,N. America,Website,Shipped,91.54,51.33999999999999
12521,2024-10-06,3316,83.61,Electronics,Laptop,4,48,Female,N. America,Mobile App,Shipped,55.0,28.61
12882,2024-10-06,3908,95.96,Home Goods,Robot Vacuum,3,28,Female,Asia-Pacific,Mobile App,Shipped,53.73,42.23
14085,2024-10-06,2990,10.58,Home Goods,Robot Vacuum,3,20,Not Specified,N. America,Website,Returned,6.91,3.67
18945,2024-10-06,2566,71.46,Electronics,Smart Watch,3,63,Female,Europe,Website,Delivered,38.6,32.85999999999999
14255,2024-10-06,2216,130.05,Apparel,Winter Jacket,3,64,Male,Asia-Pacific,In-Store Pickup,Shipped,85.95,44.10000000000001
12032,2024-10-06,2541,100.4,Apparel,Winter Jacket,5,55,Male,N. America,In-Store Pickup,Shipped,61.82,38.580000000000005
14867,2024-10-06,4945,98.76,Home Goods,Candle Set,1,53,Female,Asia-Pacific,Website,Delivered,54.36,44.400000000000006
15077,2024-10-06,3428,40.36,Home Goods,Air Fryer,3,43,Female,N. America,In-Store Pickup,Delivered,28.77,11.59
16009,2024-10-06,5055,126.4,Apparel,T-Shirt,4,25,Male,Europe,Website,Shipped,67.41,58.99000000000001
17451,2024-10-06,3326,117.85,Apparel,Winter Jacket,5,63,Male,N. America,Website,Shipped,86.03,31.819999999999993
18562,2024-10-06,5304,46.94,Electronics,Smart Watch,1,25,Male,N. America,Website,Delivered,26.3,20.639999999999997
12309,2024-10-06,5240,58.76,Food & Beverage,Protein Bars,5,37,Female,Latin America,Mobile App,Shipped,35.46,23.299999999999997
15258,2024-10-06,3626,110.49,Home Goods,Air Fryer,4,64,Female,Europe,Website,Shipped,65.63,44.86
11648,2024-10-06,3145,117.31,Books & Media,E-Reader,5,56,Male,N. America,Website,Shipped,86.51,30.799999999999997
14550,2024-10-06,4283,104.35,Electronics,Laptop,3,61,Female,N. America,In-Store Pickup,Shipped,74.04,30.309999999999988
12081,2024-10-07,4869,151.55,Electronics,Smart Watch,4,42,Female,Latin America,Mobile App,Shipped,92.44,59.110000000000014
14441,2024-10-07,4171,146.59,Apparel,Denim Jeans,3,18,Female,Europe,Website,Shipped,81.12,65.47
10541,2024-10-07,3616,136.45,Home Goods,Candle Set,4,36,Female,Europe,Mobile App,Delivered,96.61,39.83999999999999
18392,2024-10-07,2398,46.6,Apparel,Winter Jacket,1,25,Female,N. America,Mobile App,Shipped,34.19,12.410000000000004
10357,2024-10-07,2105,138.67,Electronics,Smart Watch,5,65,Male,N. America,Website,Shipped,80.3,58.36999999999999
15439,2024-10-07,5162,76.55,Home Goods,Robot Vacuum,1,52,Male,Europe,Mobile App,Shipped,46.56,29.989999999999995
11036,2024-10-07,3854,-27.01,Sports,Yoga Mat,1,24,Not Specified,Asia-Pacific,Mobile App,Shipped,-17.84,-9.170000000000002
11870,2024-10-07,2207,142.68,Electronics,Wireless Earbuds,1,27,Female,Asia-Pacific,Mobile App,Shipped,95.55,47.13000000000001
18010,2024-10-07,3438,98.67,Home Goods,Air Fryer,4,34,Male,N. America,Website,Shipped,61.97,36.7
16953,2024-10-07,2800,43.36,Home Goods,Candle Set,5,28,Male,Europe,Website,Shipped,31.97,11.39
13344,2024-10-07,5314,124.13,Electronics,Laptop,5,29,Female,Europe,Mobile App,Returned,84.5,39.629999999999995
11057,2024-10-07,2104,115.4,Apparel,Denim Jeans,3,51,Female,Asia-Pacific,Website,Returned,71.66,43.74000000000001
17735,2024-10-07,3277,139.57,Books & Media,E-Reader,1,29,Male,Europe,Mobile App,Shipped,81.96,57.61
11446,2024-10-07,4079,97.91,Electronics,Smart Watch,2,53,Male,Europe,Website,Shipped,55.64,42.269999999999996
15975,2024-10-07,2912,149.18,Apparel,T-Shirt,2,60,Female,N. America,Mobile App,Shipped,91.48,57.7
18377,2024-10-07,2670,71.28,Home Goods,Robot Vacuum,4,25,Female,N. America,Mobile App,Shipped,37.68,33.6
16557,2024-10-07,2358,36.06,Electronics,Smart Watch,2,29,Female,Europe,Website,Returned,19.02,17.040000000000003
11612,2024-10-07,2500,149.14,Apparel,Winter Jacket,2,28,Male,Europe,Website,Delivered,80.45,68.68999999999998
14187,2024-10-07,3251,142.29,Electronics,Wireless Earbuds,3,37,Non-Binary,Europe,Website,Shipped,78.01,64.27999999999999
19307,2024-10-07,5063,93.58,Electronics,Smart Watch,5,49,Non-Binary,N. America,Website,Delivered,53.35,40.23
16211,2024-10-07,3499,124.41,Electronics,Laptop,3,69,Male,N. America,Affiliate,Shipped,68.61,55.8
12960,2024-10-07,2058,79.79,Electronics,Smart Watch,5,19,Male,Asia-Pacific,Mobile App,Shipped,57.43,22.360000000000007
18310,2024-10-07,3840,26.24,Apparel,Winter Jacket,5,43,Male,Europe,Website,Shipped,16.32,9.919999999999998
14628,2024-10-08,4483,91.57,Books & Media,Vinyl Record,2,33,Male,Latin America,Mobile App,Shipped,62.16,29.409999999999997
13772,2024-10-08,4759,120.26,Electronics,Laptop,4,23,Male,Europe,Mobile App,Shipped,84.95,35.31
10924,2024-10-08,3778,197.01,Home Goods,Robot Vacuum,4,18,Male,N. America,Mobile App,Cancelled,119.36,77.64999999999999
17918,2024-10-08,4745,127.13,Electronics,Wireless Earbuds,1,18,Female,Europe,In-Store Pickup,Shipped,82.79,44.33999999999999
15802,2024-10-08,4081,108.3,Books & Media,E-Reader,3,35,Male,N. America,Affiliate,Shipped,60.41,47.89
16166,2024-10-08,5354,39.31,Electronics,Laptop,2,49,Female,Europe,Website,Shipped,28.97,10.340000000000003
15736,2024-10-08,3856,142.99,Books & Media,Best-Seller Novel,2,44,Male,Asia-Pacific,Mobile App,Returned,87.49,55.500000000000014
10791,2024-10-08,3660,87.41,Electronics,Wireless Earbuds,4,64,Male,Europe,Website,Shipped,62.05,25.36
13152,2024-10-08,2416,124.79,Apparel,Winter Jacket,3,61,Male,Europe,Website,Returned,74.59,50.2
14231,2024-10-08,2980,37.15,Apparel,T-Shirt,4,28,Female,Europe,Website,Cancelled,27.73,9.419999999999998
10140,2024-10-08,2227,41.29,Food & Beverage,Protein Bars,4,49,Male,Europe,Mobile App,Shipped,25.82,15.469999999999999
10675,2024-10-08,3890,196.8,Home Goods,Air Fryer,5,65,Female,Asia-Pacific,Mobile App,Delivered,141.33,55.47
13791,2024-10-08,4133,150.19,Books & Media,Vinyl Record,1,48,Female,Asia-Pacific,Website,Shipped,112.11,38.08
11697,2024-10-08,5483,154.87,Sports,Running Shoes,4,55,Female,Asia-Pacific,Website,Shipped,106.46,48.41000000000001
12479,2024-10-08,2171,123.8,Food & Beverage,Coffee Subscription,2,65,Male,N. America,Mobile App,Shipped,68.42,55.379999999999995
10453,2024-10-08,2567,-11.79,Apparel,T-Shirt,5,21,Female,Europe,Website,Shipped,-8.38,-3.4099999999999984
15206,2024-10-08,2370,104.89,Electronics,Wireless Earbuds,3,51,Female,Latin America,Mobile App,Shipped,61.69,43.2
12530,2024-10-08,2560,175.25,Apparel,Denim Jeans,2,54,Male,Asia-Pacific,In-Store Pickup,Shipped,93.54,81.71
18179,2024-10-08,4970,20.65,Food & Beverage,Protein Bars,5,55,Male,Europe,Website,Shipped,11.13,9.519999999999998
11189,2024-10-08,5115,79.28,Apparel,Denim Jeans,1,65,Female,Latin America,Website,Shipped,58.38,20.9
15889,2024-10-08,3184,99.89,Books & Media,Vinyl Record,5,35,Male,N. America,Website,Shipped,60.61,39.28
18451,2024-10-08,3725,45.27,Sports,Dumbbell Set,4,42,Not Specified,Europe,Website,Shipped,30.44,14.830000000000002
12636,2024-10-08,2011,102.71,Home Goods,Air Fryer,3,60,Female,Europe,Website,Delivered,71.34,31.36999999999999
11140,2024-10-08,4638,96.14,Food & Beverage,Gourmet Tea,2,68,Female,Asia-Pacific,Website,Delivered,49.03,47.11
12234,2024-10-08,3198,186.37,Books & Media,Vinyl Record,5,22,Female,Latin America,In-Store Pickup,Shipped,99.42,86.95
17887,2024-10-08,3359,80.95,Electronics,Laptop,4,35,Not Specified,N. America,Mobile App,Cancelled,45.68,35.27
18716,2024-10-09,5454,174.29,Food & Beverage,Gourmet Tea,3,65,Female,Europe,Mobile App,Shipped,128.92,45.370000000000005
14919,2024-10-09,3089,110.04,Sports,Running Shoes,5,61,Non-Binary,N. America,Affiliate,Shipped,74.16,35.88000000000001
19893,2024-10-09,3130,145.83,Electronics,Wireless Earbuds,1,36,Female,N. America,Website,Shipped,106.33,39.500000000000014
19664,2024-10-09,2660,61.02,Electronics,Wireless Earbuds,2,43,Male,N. America,Mobile App,Delivered,39.31,21.71
11021,2024-10-09,2010,123.06,Electronics,Wireless Earbuds,1,36,Female,N. America,Mobile App,Cancelled,64.85,58.21000000000001
14256,2024-10-09,2375,83.35,Home Goods,Robot Vacuum,1,50,Female,N. America,Website,Shipped,60.83,22.519999999999996
19499,2024-10-09,2248,169.19,Food & Beverage,Coffee Subscription,5,31,Male,N. America,Website,Returned,126.88,42.31
16770,2024-10-09,3368,84.37,Books & Media,E-Reader,3,56,Female,N. America,Website,Shipped,42.26,42.11000000000001
10814,2024-10-09,3814,132.44,Electronics,Wireless Earbuds,1,59,Female,Europe,Website,Shipped,90.44,42.0
17079,2024-10-09,3909,214.15,Books & Media,Vinyl Record,4,46,Male,N. America,Mobile App,Shipped,143.68,70.47
17464,2024-10-09,4820,106.66,Electronics,Wireless Earbuds,4,41,Male,N. America,Affiliate,Shipped,79.84,26.819999999999993
15882,2024-10-09,4401,109.78,Books & Media,E-Reader,4,47,Female,Europe,Website,Shipped,61.92,47.86
15676,2024-10-09,5305,114.36,Sports,Running Shoes,4,67,Female,Europe,Mobile App,Shipped,75.53,38.83
15541,2024-10-09,2773,93.35,Books & Media,Best-Seller Novel,3,64,Female,N. America,Website,Shipped,55.24,38.10999999999999
15987,2024-10-09,2120,45.45,Electronics,Smart Watch,4,31,Not Specified,Asia-Pacific,Website,Delivered,24.29,21.160000000000004
16696,2024-10-09,3066,91.55,Sports,Running Shoes,2,34,Male,N. America,Mobile App,Shipped,67.91,23.64
10367,2024-10-09,2801,129.34,Sports,Dumbbell Set,2,27,Female,Asia-Pacific,Website,Shipped,80.42,48.92
14671,2024-10-09,4402,86.93,Apparel,T-Shirt,4,44,Male,N. America,Mobile App,Delivered,57.3,29.63000000000001
15053,2024-10-09,3579,85.67,Books & Media,Vinyl Record,4,35,Male,Europe,Website,Delivered,50.18,35.49
15977,2024-10-09,5445,107.25,Electronics,Wireless Earbuds,5,57,Male,Europe,Mobile App,Shipped,56.04,51.21
11053,2024-10-09,5406,114.24,Electronics,Smart Watch,1,44,Male,Europe,Mobile App,Delivered,66.11,48.129999999999995
19583,2024-10-10,4442,201.43,Food & Beverage,Gourmet Tea,3,47,Male,Europe,Website,Shipped,132.02,69.41
15002,2024-10-10,2015,31.25,Home Goods,Air Fryer,4,22,Male,Latin America,Mobile App,Delivered,21.68,9.57
14156,2024-10-10,4340,45.09,Electronics,Laptop,5,58,Female,Asia-Pacific,In-Store Pickup,Shipped,31.24,13.850000000000005
18541,2024-10-10,2116,107.98,Sports,Running Shoes,1,64,Not Specified,Europe,Affiliate,Delivered,78.45,29.53
19786,2024-10-10,4609,125.2,Electronics,Laptop,3,32,Not Specified,N. America,Mobile App,Shipped,65.61,59.59
12024,2024-10-10,3511,85.87,Sports,Dumbbell Set,2,56,Male,Europe,Affiliate,Shipped,61.05,24.820000000000007
18373,2024-10-10,5388,88.17,Books & Media,Best-Seller Novel,5,64,Female,Asia-Pacific,Mobile App,Shipped,57.7,30.47
16502,2024-10-10,4693,88.19,Sports,Yoga Mat,4,43,Male,Latin America,Mobile App,Delivered,52.57,35.62
10978,2024-10-10,3195,62.7,Home Goods,Air Fryer,3,38,Male,N. America,Website,Shipped,45.92,16.78
12581,2024-10-10,3004,92.61,Electronics,Smart Watch,4,40,Female,Asia-Pacific,Affiliate,Delivered,47.12,45.49
16541,2024-10-10,4839,122.94,Food & Beverage,Coffee Subscription,1,49,Female,Asia-Pacific,Website,Shipped,64.2,58.739999999999995
10666,2024-10-10,4425,157.88,Apparel,Denim Jeans,4,44,Male,Europe,Website,Delivered,81.39,76.49
19573,2024-10-10,4821,102.66,Electronics,Laptop,2,60,Female,N. America,Website,Shipped,69.35,33.31
11859,2024-10-10,2096,114.26,Electronics,Laptop,1,66,Female,Europe,Affiliate,Delivered,68.19,46.07000000000001
17128,2024-10-10,2718,87.43,Apparel,Denim Jeans,1,33,Female,Latin America,Mobile App,Delivered,58.14,29.290000000000006
18776,2024-10-10,4929,127.37,Home Goods,Robot Vacuum,5,52,Female,Europe,Mobile App,Shipped,83.46,43.91000000000001
14739,2024-10-10,4167,120.82,Food & Beverage,Gourmet Tea,2,66,Female,Europe,Affiliate,Shipped,90.3,30.519999999999996
17074,2024-10-10,3529,177.07,Home Goods,Candle Set,2,47,Female,N. America,Website,Shipped,126.7,50.36999999999999
18112,2024-10-10,3663,132.99,Home Goods,Robot Vacuum,2,50,Not Specified,N. America,Website,Shipped,78.08,54.91000000000001
13664,2024-10-10,4898,91.35,Apparel,Winter Jacket,4,24,Female,N. America,Mobile App,Shipped,57.07,34.279999999999994
15364,2024-10-10,5487,104.69,Home Goods,Candle Set,4,21,Male,N. America,Website,Shipped,69.9,34.78999999999999
14608,2024-10-10,3057,75.57,Apparel,T-Shirt,5,34,Female,N. America,Mobile App,Shipped,50.54,25.029999999999994
13099,2024-10-10,4169,90.18,Food & Beverage,Protein Bars,3,25,Male,Latin America,Affiliate,Shipped,63.37,26.81000000000001
11791,2024-10-10,3095,24.21,Sports,Yoga Mat,1,35,Non-Binary,N. America,In-Store Pickup,Shipped,16.2,8.010000000000002
19359,2024-10-10,4239,26.26,Sports,Dumbbell Set,2,46,Male,Europe,Website,Shipped,14.5,11.760000000000002
17058,2024-10-10,3051,113.47,Electronics,Wireless Earbuds,2,29,Female,Europe,Website,Delivered,66.88,46.59
12676,2024-10-10,4810,65.98,Home Goods,Air Fryer,3,52,Male,N. America,Website,Shipped,46.89,19.090000000000003
11585,2024-10-10,5138,88.39,Books & Media,E-Reader,5,27,Female,N. America,Website,Delivered,51.34,37.05
11389,2024-10-10,4096,103.88,Apparel,T-Shirt,2,25,Male,N. America,Website,Shipped,55.33,48.55
12113,2024-10-11,3160,182.93,Sports,Running Shoes,4,24,Male,Asia-Pacific,Mobile App,Shipped,109.74,73.19000000000001
13568,2024-10-11,3502,139.75,Electronics,Wireless Earbuds,2,20,Female,Europe,Website,Shipped,76.41,63.34
16705,2024-10-11,4291,104.58,Apparel,T-Shirt,2,22,Male,N. America,Website,Shipped,76.71,27.870000000000005
15857,2024-10-11,4725,107.27,Home Goods,Air Fryer,4,53,Female,N. America,Website,Shipped,69.69,37.58
19699,2024-10-11,2060,97.15,Electronics,Laptop,2,63,Male,N. America,Website,Shipped,61.76,35.39000000000001
13770,2024-10-11,5161,112.37,Electronics,Wireless Earbuds,4,33,Male,Asia-Pacific,In-Store Pickup,Shipped,70.49,41.88000000000001
16566,2024-10-11,2827,75.07,Sports,Yoga Mat,4,59,Male,Europe,Website,Shipped,52.08,22.989999999999995
17768,2024-10-11,3821,105.5,Electronics,Wireless Earbuds,2,36,Male,Latin America,Mobile App,Shipped,58.63,46.87
17759,2024-10-11,3600,74.55,Apparel,Winter Jacket,1,38,Female,N. America,Mobile App,Shipped,43.61,30.939999999999998
16411,2024-10-11,5154,182.41,Electronics,Laptop,1,68,Female,Europe,Website,Shipped,103.06,79.35
10908,2024-10-11,5123,117.67,Electronics,Smart Watch,1,52,Male,N. America,Website,Delivered,72.23,45.44
13456,2024-10-11,2915,133.71,Home Goods,Robot Vacuum,2,27,Male,N. America,Website,Shipped,83.78,49.93000000000001
19927,2024-10-11,3242,118.84,Books & Media,E-Reader,1,38,Male,N. America,Website,Shipped,72.84,46.0
11362,2024-10-11,2037,155.24,Sports,Yoga Mat,3,38,Not Specified,Europe,Website,Shipped,92.88,62.360000000000014
14258,2024-10-11,2010,197.14,Books & Media,Vinyl Record,4,41,Non-Binary,N. America,Website,Shipped,115.86,81.27999999999999
15140,2024-10-11,3409,90.1,Sports,Dumbbell Set,2,22,Female,N. America,Website,Shipped,64.87,25.22999999999999
14305,2024-10-11,5040,96.76,Apparel,Denim Jeans,2,45,Male,Latin America,Website,Shipped,61.9,34.86000000000001
16102,2024-10-11,5361,93.69,Apparel,Winter Jacket,3,61,Female,N. America,Mobile App,Shipped,61.3,32.39
16983,2024-10-11,3812,109.85,Home Goods,Candle Set,4,46,Male,N. America,Website,Shipped,64.6,45.25
10756,2024-10-11,3746,68.34,Food & Beverage,Coffee Subscription,1,68,Male,Asia-Pacific,Mobile App,Shipped,42.05,26.290000000000006
12757,2024-10-11,2464,85.95,Electronics,Smart Watch,1,68,Male,Asia-Pacific,Website,Shipped,53.87,32.080000000000005
10957,2024-10-11,3863,111.98,Apparel,T-Shirt,1,55,Non-Binary,Europe,In-Store Pickup,Shipped,58.76,53.220000000000006
11916,2024-10-11,4597,113.74,Electronics,Laptop,2,69,Male,Europe,Affiliate,Shipped,84.45,29.289999999999992
12227,2024-10-11,2480,102.66,Apparel,Winter Jacket,2,57,Male,Latin America,Mobile App,Shipped,52.56,50.099999999999994
12782,2024-10-11,4777,109.46,Electronics,Smart Watch,1,30,Male,N. America,Website,Shipped,68.77,40.69
18920,2024-10-11,5401,54.98,Sports,Dumbbell Set,5,27,Not Specified,Asia-Pacific,Website,Returned,30.15,24.83
15354,2024-10-11,5451,206.44,Apparel,Denim Jeans,3,60,Male,Europe,In-Store Pickup,Shipped,111.29,95.14999999999999
13219,2024-10-11,3495,101.87,Electronics,Smart Watch,4,25,Female,Asia-Pacific,Mobile App,Shipped,71.92,29.950000000000003
13245,2024-10-11,5183,102.48,Sports,Yoga Mat,2,61,Male,Asia-Pacific,Website,Shipped,71.76,30.72
14308,2024-10-11,3946,102.89,Electronics,Laptop,2,32,Not Specified,N. America,Website,Shipped,71.8,31.090000000000003
18880,2024-10-12,4087,84.76,Books & Media,Vinyl Record,5,20,Female,Latin America,Website,Shipped,47.08,37.68000000000001
16988,2024-10-12,3755,96.31,Food & Beverage,Gourmet Tea,1,54,Not Specified,N. America,Mobile App,Delivered,52.31,44.0
11703,2024-10-12,4784,-2.45,Electronics,Wireless Earbuds,5,42,Female,N. America,Mobile App,Cancelled,-1.49,-0.9600000000000002
14508,2024-10-12,3590,36.23,Books & Media,Best-Seller Novel,2,38,Female,N. America,Mobile App,Shipped,20.24,15.989999999999998
11437,2024-10-12,4586,70.15,Electronics,Laptop,5,46,Male,N. America,In-Store Pickup,Shipped,37.02,33.13
17968,2024-10-12,4972,78.47,Home Goods,Candle Set,4,41,Male,Europe,Website,Shipped,56.77,21.699999999999996
10294,2024-10-12,2768,126.09,Apparel,Denim Jeans,3,25,Male,Europe,Website,Shipped,92.8,33.290000000000006
12397,2024-10-12,3556,106.03,Electronics,Laptop,5,36,Female,Europe,Affiliate,Shipped,71.82,34.21000000000001
18018,2024-10-12,3415,205.62,Apparel,T-Shirt,2,69,Not Specified,N. America,Mobile App,Shipped,127.92,77.7
19486,2024-10-12,3313,143.54,Electronics,Laptop,5,67,Female,Europe,Affiliate,Shipped,75.87,67.66999999999999
11736,2024-10-12,4819,18.5,Books & Media,Vinyl Record,4,50,Female,Latin America,Mobile App,Shipped,9.48,9.02
11939,2024-10-12,5100,93.45,Electronics,Laptop,5,31,Not Specified,N. America,Website,Shipped,67.97,25.480000000000004
10662,2024-10-12,3253,10.8,Sports,Yoga Mat,5,63,Female,Asia-Pacific,In-Store Pickup,Returned,7.14,3.660000000000001
17702,2024-10-12,3863,163.97,Home Goods,Air Fryer,1,49,Female,Latin America,Website,Shipped,91.45,72.52
16718,2024-10-12,5430,92.1,Home Goods,Robot Vacuum,5,31,Non-Binary,Latin America,Website,Shipped,67.07,25.03
12006,2024-10-12,5148,157.43,Home Goods,Candle Set,2,43,Female,N. America,Affiliate,Shipped,93.02,64.41000000000001
16956,2024-10-12,2863,152.25,Apparel,Winter Jacket,2,27,Not Specified,Europe,Website,Cancelled,85.87,66.38
